Design Futures Signals Database,,,,,,,,,,,
Short Title of Signal,Brief description of Signal,Image,Date of Signal,Link to Signal,Why is this a signal? What makes it relevant and novel concerning the future?,STEEP category PRIMARY (use this column starting week 2 for Design Futures 101),STEEP category SECONDARY (use this column starting week 2 for Design Futures 101),Impact Forces,Proposed Strategic Direction,Customize this column depending on your own organizational needs...,Customize this column depending on your own organizational needs...
Femcels,Girls and women are not socialised into believing that they have a ‘right’ to men’s bodies [...] they are socialised into self-blaming more broadly,,5/9/2025,https://www.dazeddigital.com/life-culture/article/66689/1/femcels-meet-the-young-women-struggling-to-find-love-incels-sex-dating-crisis,The female version of a trend that has had an effect on culture. Dissatisfaction with dating and dating culture to the extent that women abstain. See South Korean '4B' movement.,SOCIAL,ECONOMIC,Social alienation and economic pressure due to a declining birth rate.,The community is very accepting but topics on gender and guided social interactions could help ameliorate the social impact. The community could give time to alternate econamic models that are not reliant on growth.,,
Gen Z & Monogomy,Gen Z is nearly twice as likely to say that they have frequent fantasies about monogamy than older generations.,,9/4/2024,https://feeld.co/magazine/playbook/feeld-guides/a-report-from-feeld-and-dr-justin-lehmiller-of-the-kinsey-institute,A stark difference from previous generations.,SOCIAL,POLITICAL,,,,
Community TikTok,TikTok competitions create community,,10/25/2024,https://news.illinoisstate.edu/2024/10/video-viral-student-organized-tiktok-competitions-create-community/,Creating community is an unusual activity but can spread quickly through viral media.,SOCIAL,TECHNOLOGICAL,,,,
Extreme Beautification Plastic Surgery,Plastic surgery that drastically changes a person into a (convetially) very attractive person,,6/27/2025,https://slomojustin.substack.com/p/50-you-me-and-plastic-surgery,Relatively affordable surgery so that many people would be considered very attractive.,SOCIAL,TECHNOLOGICAL,,,,
ChatGPT Psychosis,Serious mental health problems after obsession with AI chatbots,,6/28/2025,https://futurism.com/commitment-jail-chatgpt-psychosis,The involvement with chatbots may have subtler side effects or be dangerous as a trend.,SOCIAL,TECHNOLOGICAL,,,,
Facebook all your photos,Facebook may want to process all your photos on your phone and give you AI generated content.,,6/28/2025,https://www.engadget.com/ai/facebook-test-uses-meta-ai-to-process-photos-youve-yet-to-upload-140021100.html,,TECHNOLOGICAL,POLITICAL,,,,
Massive Power Consumption of AI,,,,https://www.theregister.com/2025/06/26/us_datacenter_power_crunch/?td=rt-3a,Effects could be a huge increase in the cost of using AI and/or the effects of the power gri.d ,TECHNOLOGICAL,POLITICAL,,,,
,"ChatGPT May Be Eroding Critical Thinking Skills, According to a New MIT Study",,,https://time.com/7295195/ai-chatgpt-google-learning-school/,,SOCIAL,TECHNOLOGICAL,,,,
,Child Welfare Experts Horrified by Mattel's Plans to Add ChatGPT to Toys After Mental Health Concerns for Adult Users,https://futurism.com/_next/image?url=https%3A%2F%2Fwordpress-assets.futurism.com%2F2025%2F06%2Fexperts-horrified-mattel-ai.jpg&w=1080&q=75,,https://futurism.com/experts-horrified-mattel-ai,,SOCIAL,TECHNOLOGICAL,,,,
AI-Assisted Communication Ambiguity,People are using AI to write personal messages creating uncertainty about authenticity and intent in daily communication,N/A,May 4 2025,https://www.schoolinfosystem.org/2025/05/04/a-field-guide-to-the-weird-new-behaviors-of-ai-assisted-communication/,Could fundamentally alter human trust and intimacy as people become unable to distinguish between authentic and AI-generated personal communications.,SOCIAL,POLITICAL,,,,
Lo-Fi Reverie Aesthetic,Gen Z is embracing deliberately low-resolution and imperfect digital aesthetics as a reaction to AI's hyper-sharp visuals,N/A,2025,https://www.agentur-loop.com/loop-labs/subcultures-to-watch-in-2025,May lead to a broader cultural rejection of digital perfection in favor of intentionally imperfect authenticity across media and design.,SOCIAL,ECONOMIC,,,,
Hyper-Niche Sneaker Alchemy,Underground sneaker customizers are creating one-off designs in Discord servers and private forums with coded access,N/A,2025,https://www.agentur-loop.com/loop-labs/subcultures-to-watch-in-2025,Could transform retail into invitation-only exclusivity where cultural value comes from hidden access rather than mass appeal.,ECONOMIC,SOCIAL,,,,
New Western Aesthetic,Young people are remixing cowboy imagery with futuristic elements and festival fashion creating cyber-western style,N/A,2025,https://www.agentur-loop.com/loop-labs/subcultures-to-watch-in-2025,May signal a broader cultural desire to reimagine American identity through surreal nostalgic filters in response to uncertain futures.,SOCIAL,POLITICAL,,,,
Running as Social Currency,Creative professionals are turning running into a performative lifestyle complete with technical gear and crew culture documentation,N/A,2025,https://www.agentur-loop.com/loop-labs/subcultures-to-watch-in-2025,Could replace traditional gym culture as the dominant wellness status symbol leading to new forms of athletic social stratification.,SOCIAL,POLITICAL,,,,
Retro-Future Femme Racing,Women are claiming space in motorsport culture through chrome aesthetics and racing-inspired fashion,N/A,2025,https://www.agentur-loop.com/loop-labs/subcultures-to-watch-in-2025,May accelerate female participation in traditionally male-dominated technical fields through aesthetic cultural entry points.,SOCIAL,ECONOMIC,,,,
Teen Smartphone Rejection,Some teenagers are voluntarily switching to basic phones and seeking offline interactions as digital wellness,N/A,December 24 2024,https://www.parents.com/teen-trends-to-know-about-in-2025-8761027,Could trigger a generational reversal in smartphone adoption if teens lead an anti-connectivity movement affecting social and economic systems.,ENVIRONMENTAL,POLITICAL,,,,
Gamified Self-Care Apps,Teens are using apps that turn wellness activities into virtual pet care linking mental health to digital nurturing,N/A,December 24 2024,https://www.parents.com/teen-trends-to-know-about-in-2025-8761027,May create a generation that requires gamification for basic self-maintenance potentially reshaping how society approaches personal responsibility.,ENVIRONMENTAL,SOCIAL,,,,
Pattern vs Habit Distinction,Professionals are differentiating between surface-level habits and deep emotional behavior patterns in workplace development,https://ceoptions.com/wp-content/uploads/2025/01/AdobeStock_868329673-1024x724.jpeg,January 28 2025,https://ceoptions.com/2025/01/how-patterns-of-behavior-differ-from-habits-what-you-need-to-know/,Could revolutionize corporate training and therapy by separating quick behavioral fixes from deep psychological transformation work.,ENVIRONMENTAL,ECONOMIC,,,,
Lemon8 Migration Prep,Teens are preemptively adopting Lemon8 app as a TikTok alternative before potential bans creating platform hedging behavior,N/A,December 24 2024,https://www.parents.com/teen-trends-to-know-about-in-2025-8761027,May establish new patterns of multi-platform cultural migration where users preemptively scatter across alternatives rather than waiting for disruption.,TECHNOLOGICAL,ECONOMIC,,,,
Chevron Deference Doctrine Overturned,Supreme Court eliminated requirement for federal courts to defer to reasonable agency interpretations of ambiguous statutes shifting regulatory authority from executive agencies to federal judges,Image available in source article,June 28 2024,https://www.nbcnews.com/news/amp/rcna145344,Concentrates enormous power in unelected federal judiciary while appearing as judicial restraint enabling judge-shopping for favorable regulatory interpretations and weakening scientific expertise in policy-making,Political,Environmental,Federal vs State tension; Legal framework erosion,Monitor judicial appointment patterns and develop state-level regulatory backup systems,,
Corner Post Decision Weaponizes Regulatory Challenges,Supreme Court ruled that statute of limitations for challenging federal regulations only begins when plaintiff is injured enabling indefinite challenges to settled regulations,Image available in source article,2024,https://www.nga.org/updates/briefing-on-2023-2024-u-s-supreme-court-term-2/,Creates permanent regulatory instability by enabling well-funded interests to wage perpetual warfare against environmental and consumer protections through strategic forum shopping,Political,Economic,Legal framework erosion; Economic pressure,Strengthen state-level protections as federal regulations become vulnerable,,
Administrative Enforcement Powers Gutted,Supreme Court required jury trials for administrative penalties making agency enforcement slower more expensive and less effective,Image available in source article,June 2024,https://www.govexec.com/management/2024/06/supreme-court-deals-earth-shattering-blow-federal-agencies-administrative-powers/397697/,Shields corporate violators from agency expertise while appearing to protect individual rights systematically undermining consumer environmental and financial protection enforcement,Political,Economic,Legal framework erosion; Economic pressure,Develop alternative enforcement mechanisms through state attorneys general coordination,,
600% Surge in Big Tech Government Data Sharing,Government data requests from Apple Google and Meta increased 600% since 2014 with nearly 500000 US data requests in 2023-2024 alone,Image available in source article,March 2024,https://proton.me/blog/big-tech-data-requests-surge,Creates mass surveillance infrastructure through private companies rather than direct government monitoring establishing precedent for routine access to detailed personal information without direct authoritarianism,Technology,Political,Technology surveillance; Federal vs State tension,Support state-level data privacy legislation and digital rights frameworks,,
1700+ Federal AI Systems Deployed Without Oversight,37 federal agencies now use AI for over 1700 applications affecting public rights safety and benefits delivery with minimal oversight or transparency,Image available in source article,December 2024,https://www.cio.gov/ai-in-action/,Enables algorithmic control of citizens through government services with potential for discrimination against political dissidents while maintaining appearance of technical efficiency,Technology,Social,Technology surveillance; Population control mechanisms,Advocate for algorithmic transparency and accountability requirements,,
Smart City Surveillance Networks Proliferate,AI-powered urban surveillance systems integrating facial recognition behavior analysis and predictive policing across interconnected city networks,Image available in source article,2024,https://www.mdpi.com/2079-9292/12/17/3567,Liberal urban areas are creating the very infrastructure that could be used against them during political transitions enabling comprehensive tracking and behavioral monitoring,Technology,Social,Technology surveillance; Population control mechanisms,Ensure community control over smart city technology deployment and data governance,,
National Digital Identity Infrastructure Development,Improving Digital Identity Act and state mobile ID systems create interoperable biometric verification infrastructure across government and private services,Image available in source article,2023-2024,https://www.congress.gov/bill/118th-congress/senate-bill/884/text,Creates centralized databases for tracking individuals across all interactions while appearing as convenience infrastructure establishing foundation for comprehensive population monitoring,Technology,Political,Population control mechanisms; Technology surveillance,Advocate for privacy-by-design principles and opt-out mechanisms,,
$6.2 Billion Education Funding Frozen with DEI Elimination Mandate,Trump administration withholding $6.2 billion in K-12 education funding while requiring elimination of diversity equity and inclusion programs for funding eligibility,Image available in source article,2025,https://learningpolicyinstitute.org/blog/states-face-uncertainty-k-12-funding-remains-unreleased,Establishes executive authority to withhold legally appropriated funds based on ideological compliance creating mechanism for political control over local institutions through economic pressure,Economic,Social,Economic pressure; Federal vs State tension,Develop state-level education funding backup systems independent of federal requirements,,
SALT Cap Continues $1 Trillion Blue-to-Red State Transfer,State and Local Tax deduction cap extracts over $1 trillion from blue states to red states over five years with blue state residents receiving $4300 less per capita in federal spending than taxes paid,Image available in source article,2023-2025,https://time.com/7222411/blue-states-are-bailing-out-red-states/,Systematic economic extraction from politically opposing areas to politically aligned areas using tax policy as tool of political punishment rather than neutral revenue generation,Economic,Political,Economic pressure; Federal vs State tension,Build state-level economic resilience and interstate cooperation agreements,,
Financial Surveillance Infrastructure Through Data Broker Oversight,New rules require data brokers to register and provide government access to consumer financial information while appearing to protect privacy through oversight,Image available in source article,December 2024,https://www.skadden.com/insights/publications/2024/12/cfpb-releases-final-open-banking-rule,Creates legal framework for government access to comprehensive consumer data while appearing protective establishing infrastructure for financial surveillance and economic pressure against political opponents,Economic,Technology,Economic pressure; Technology surveillance,Support financial privacy legislation and alternative payment systems,,
Federal Contracting as Ideological Enforcement Tool,New federal contracting rules require disclosure of compensation practices and restrict contractor diversity initiatives affecting access to government business,Image available in source article,2024,https://www.marylandapex.org/post/a-snapshot-of-government-wide-contracting-for-fy-2024,Federal contracting becomes tool for ideological enforcement where access to government business requires alignment with administration social policies creating economic pressure for private sector conformity,Economic,Social,Economic pressure; Population control mechanisms,Develop state and local contracting alternatives to reduce federal dependency,,
